 	Area
1	1.493
2	1.461
3	1.326
4	1.301
5	0.982
6	0.705
7	1.819
8	1.437
9	1.049
10	2.014
11	1.276
12	1.589
13	1.412
14	1.080
15	1.037
16	1.672
17	1.224
18	1.403
19	0.724
20	1.736
21	1.601
22	1.432
23	0.449
24	1.245
25	1.011
26	2.151
27	0.986
28	0.981
29	0.658
30	1.064
31	1.341
32	1.044
33	1.337
34	1.341
35	1.276
36	0.893
