 	Area
1	13.141
2	2.062
3	1.031
4	1.852
5	1.530
6	1.354
7	1.047
8	2.039
9	1.313
10	0.963
11	2.254
12	1.135
13	1.130
14	1.022
15	1.730
16	2.013
17	2.061
18	1.937
19	1.335
20	1.530
21	1.712
22	1.476
23	1.441
24	1.238
25	1.493
26	1.483
27	1.562
28	2.882
29	0.849
30	1.503
31	1.737
32	0.727
33	1.661
34	1.577
35	1.121
36	2.187
37	0.901
38	1.165
39	1.264
40	1.021
41	1.508
