 	Area
1	7.112
2	0.884
3	1.406
4	1.191
5	1.303
6	1.629
7	1.382
8	2.546
9	1.066
10	1.435
11	0.953
12	1.687
13	1.348
14	1.237
15	1.685
16	1.465
17	1.921
18	1.184
19	2.101
20	2.716
21	1.359
22	1.217
23	0.918
24	1.163
25	0.950
26	1.516
27	1.023
28	1.726
29	1.982
30	1.285
31	1.729
32	1.515
33	0.852
34	2.213
35	1.586
36	1.451
37	0.860
